MARCA_VEHICULO;MODELO_VEHICULO;TIPO_VEHICULO;EDAD_VEHICULO;FECHA_ACCIDENTE;GRAVEDAD_ACCIDENTE
KIA;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
COMBAT;2021;MOTOCICLETA;5;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;4;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;6;12/2024;CON HERIDOS
KIA;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;19;12/2024;CON HERIDOS
KIA;2014;CAMIONETA;12;12/2024;CON HERIDOS
FORD;2017;CAMION;7;12/2024;CON HERIDOS
HYUNDAI;2017;AUTOMOVIL;8;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;6;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
KIA;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
VICTORY;2022;MOTOCICLETA;4;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;6;12/2024;CON HERIDOS
SAIC WULING;2008;CAMIONETA;18;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
KIA;2018;AUTOMOVIL;8;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
PEUGEOT;1997;AUTOMOVIL;28;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
KIA;2017;CAMIONETA;9;12/2024;CON HERIDOS
FORD;2020;CAMIONETA;6;12/2024;CON HERIDOS
FORD;2008;CAMPERO;17;12/2024;CON HERIDOS
VICTORY;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
FORD;2007;CAMIONETA;19;12/2024;CON HERIDOS
VICTORY;2024;MOTOCICLETA;2;12/2024;CON HERIDOS
HYUNDAI;2007;AUTOMOVIL;19;12/2024;CON HERIDOS
PEUGEOT;2022;CAMIONETA;5;12/2024;CON HERIDOS
PEUGEOT;2010;AUTOMOVIL;15;12/2024;CON HERIDOS
FOTON;2022;CAMION;5;12/2024;CON HERIDOS
FORD;2020;CAMIONETA;6;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;19;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
HYUNDAI;2014;AUTOMOVIL;11;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
HYUNDAI;2008;AUTOMOVIL;18;12/2024;CON HERIDOS
HYUNDAI;2011;AUTOMOVIL;16;12/2024;CON HERIDOS
HYUNDAI;2018;AUTOMOVIL;8;12/2024;CON HERIDOS
VICTORY;2023;MOTOCICLETA;3;12/2024;CON HERIDOS
FORD;1993;CAMIONETA;32;12/2024;CON HERIDOS
VICTORY;2025;MOTOCICLETA;2;12/2024;CON HERIDOS
HYUNDAI;2014;AUTOMOVIL;12;12/2024;CON HERIDOS
HYUNDAI;2010;AUTOMOVIL;16;12/2024;CON HERIDOS
HYUNDAI;2006;AUTOMOVIL;20;12/2024;CON HERIDOS
FOTON;2018;CAMIONETA;8;12/2024;CON HERIDOS
BMW;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
