MARCA_VEHICULO;MODELO_VEHICULO;TIPO_VEHICULO;EDAD_VEHICULO;FECHA_ACCIDENTE;GRAVEDAD_ACCIDENTE
KIA;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;6;12/2024;CON HERIDOS
KIA;2011;AUTOMOVIL;15;12/2024;CON HERIDOS
KIA;2014;CAMIONETA;12;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;6;12/2024;CON HERIDOS
KIA;2021;AUTOMOVIL;5;12/2024;CON HERIDOS
KIA;2020;AUTOMOVIL;6;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
KIA;2018;AUTOMOVIL;8;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
KIA;2013;AUTOMOVIL;13;12/2024;CON HERIDOS
KIA;2017;CAMIONETA;9;12/2024;CON HERIDOS
KIA;2017;AUTOMOVIL;9;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
KIA;2015;AUTOMOVIL;11;12/2024;CON HERIDOS
